INPUT:query	INPUT:image_url	INPUT:search_url	INPUT:image_ext_id	GOLDEN:result	TASK:id	TASK:overlap	TASK:assignments_count	TASK:correct_answers_percent
худи антифа	https://storage.yandexcloud.net/aaa-project-100/44449456154.jpg	https://www.google.ru/search?q=худи антифа	44449456154	irrelevant	0000488072--68497c2147006c7b78d955d1	infinite	13	61.53846
худи антифа	https://storage.yandexcloud.net/aaa-project-100/44551755772.jpg	https://www.google.ru/search?q=худи антифа	44551755772	irrelevant	0000488072--68497c2147006c7b78d955d5	infinite	17	100.0
одежда	https://storage.yandexcloud.net/aaa-project-100/44553289897.jpg	https://www.google.ru/search?q=одежда	44553289897	relevant	0000488072--68497c2147006c7b78d955d6	infinite	14	50.0
одежда	https://storage.yandexcloud.net/aaa-project-100/44611847080.jpg	https://www.google.ru/search?q=одежда	44611847080	relevant	0000488072--68497c2147006c7b78d955d7	infinite	14	57.142857
одежда	https://storage.yandexcloud.net/aaa-project-100/44589875693.jpg	https://www.google.ru/search?q=одежда	44589875693	irrelevant	0000488072--68497c2147006c7b78d955d8	infinite	19	68.42105
одежда	https://storage.yandexcloud.net/aaa-project-100/44616325256.jpg	https://www.google.ru/search?q=одежда	44616325256	relevant	0000488072--68497c2147006c7b78d955db	infinite	21	61.904762
одежда	https://storage.yandexcloud.net/aaa-project-100/44605641846.jpg	https://www.google.ru/search?q=одежда	44605641846	relevant	0000488072--68497c2147006c7b78d955de	infinite	14	50.0
joshua jamal шорты	https://storage.yandexcloud.net/aaa-project-100/44594847450.jpg	https://www.google.ru/search?q=joshua jamal шорты	44594847450	irrelevant	0000488072--68497c2147006c7b78d955e3	infinite	16	100.0
joshua jamal шорты	https://storage.yandexcloud.net/aaa-project-100/44553639914.jpg	https://www.google.ru/search?q=joshua jamal шорты	44553639914	irrelevant	0000488072--68497c2147006c7b78d955e5	infinite	16	100.0
joshua jamal шорты	https://storage.yandexcloud.net/aaa-project-100/44620799318.jpg	https://www.google.ru/search?q=joshua jamal шорты	44620799318	irrelevant	0000488072--68497c2147006c7b78d955e7	infinite	21	100.0
joshua jamal шорты	https://storage.yandexcloud.net/aaa-project-100/44610413747.jpg	https://www.google.ru/search?q=joshua jamal шорты	44610413747	irrelevant	0000488072--68497c2147006c7b78d955e8	infinite	24	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44626916274.jpg	https://www.google.ru/search?q=кроссовки	44626916274	irrelevant	0000488072--68497c2147006c7b78d955ea	infinite	17	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44649761331.jpg	https://www.google.ru/search?q=кроссовки	44649761331	irrelevant	0000488072--68497c2147006c7b78d955eb	infinite	20	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44584397402.jpg	https://www.google.ru/search?q=кроссовки	44584397402	irrelevant	0000488072--68497c2147006c7b78d955ee	infinite	28	100.0
брюки	https://storage.yandexcloud.net/aaa-project-100/44636065582.jpg	https://www.google.ru/search?q=брюки	44636065582	irrelevant	0000488072--68497c2147006c7b78d955fe	infinite	14	92.85714
брюки	https://storage.yandexcloud.net/aaa-project-100/44559864568.jpg	https://www.google.ru/search?q=брюки	44559864568	irrelevant	0000488072--68497c2147006c7b78d95607	infinite	17	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44585789083.jpg	https://www.google.ru/search?q=кроссовки	44585789083	irrelevant	0000488072--68497c2147006c7b78d9560a	infinite	12	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44605641846.jpg	https://www.google.ru/search?q=кроссовки	44605641846	irrelevant	0000488072--68497c2147006c7b78d9560b	infinite	22	100.0
сарафан	https://storage.yandexcloud.net/aaa-project-100/44609264543.jpg	https://www.google.ru/search?q=сарафан	44609264543	irrelevant	0000488072--68497c2147006c7b78d95615	infinite	16	100.0
сарафан	https://storage.yandexcloud.net/aaa-project-100/44004606591.jpg	https://www.google.ru/search?q=сарафан	44004606591	irrelevant	0000488072--68497c2147006c7b78d9561a	infinite	23	100.0
burberry	https://storage.yandexcloud.net/aaa-project-100/44570343538.jpg	https://www.google.ru/search?q=burberry	44570343538	relevant	0000488072--68497c2147006c7b78d95650	infinite	19	42.105263
burberry	https://storage.yandexcloud.net/aaa-project-100/44610580237.jpg	https://www.google.ru/search?q=burberry	44610580237	relevant	0000488072--68497c2147006c7b78d95654	infinite	14	42.857143
burberry	https://storage.yandexcloud.net/aaa-project-100/44566318342.jpg	https://www.google.ru/search?q=burberry	44566318342	relevant	0000488072--68497c2147006c7b78d95657	infinite	16	31.25
nike dn	https://storage.yandexcloud.net/aaa-project-100/44605729338.jpg	https://www.google.ru/search?q=nike dn	44605729338	irrelevant	0000488072--68497c2147006c7b78d95658	infinite	18	61.11111
nike dn	https://storage.yandexcloud.net/aaa-project-100/44652248749.jpg	https://www.google.ru/search?q=nike dn	44652248749	irrelevant	0000488072--68497c2147006c7b78d9565e	infinite	15	80.0
nike dn	https://storage.yandexcloud.net/aaa-project-100/44607109364.jpg	https://www.google.ru/search?q=nike dn	44607109364	irrelevant	0000488072--68497c2147006c7b78d9565f	infinite	18	94.44444
регбийки	https://storage.yandexcloud.net/aaa-project-100/44579179318.jpg	https://www.google.ru/search?q=регбийки	44579179318	irrelevant	0000488072--68497c2147006c7b78d95679	infinite	20	90.0
регбийки	https://storage.yandexcloud.net/aaa-project-100/44605641846.jpg	https://www.google.ru/search?q=регбийки	44605641846	irrelevant	0000488072--68497c2147006c7b78d9567b	infinite	20	100.0
регбийки	https://storage.yandexcloud.net/aaa-project-100/44547503065.jpg	https://www.google.ru/search?q=регбийки	44547503065	irrelevant	0000488072--68497c2147006c7b78d9567c	infinite	10	100.0
регбийки	https://storage.yandexcloud.net/aaa-project-100/44577819065.jpg	https://www.google.ru/search?q=регбийки	44577819065	relevant	0000488072--68497c2147006c7b78d9567e	infinite	14	7.142857
регбийки	https://storage.yandexcloud.net/aaa-project-100/44629795507.jpg	https://www.google.ru/search?q=регбийки	44629795507	irrelevant	0000488072--68497c2147006c7b78d9567f	infinite	25	100.0
поло henderson	https://storage.yandexcloud.net/aaa-project-100/44634667715.jpg	https://www.google.ru/search?q=поло henderson	44634667715	irrelevant	0000488072--68497c2147006c7b78d95680	infinite	14	92.85714
поло henderson	https://storage.yandexcloud.net/aaa-project-100/44563652501.jpg	https://www.google.ru/search?q=поло henderson	44563652501	irrelevant	0000488072--68497c2147006c7b78d95682	infinite	11	90.90909
поло henderson	https://storage.yandexcloud.net/aaa-project-100/44555227727.jpg	https://www.google.ru/search?q=поло henderson	44555227727	irrelevant	0000488072--68497c2147006c7b78d95683	infinite	11	90.90909
поло henderson	https://storage.yandexcloud.net/aaa-project-100/44608574122.jpg	https://www.google.ru/search?q=поло henderson	44608574122	irrelevant	0000488072--68497c2147006c7b78d95686	infinite	16	100.0
поло henderson	https://storage.yandexcloud.net/aaa-project-100/44601783186.jpg	https://www.google.ru/search?q=поло henderson	44601783186	irrelevant	0000488072--68497c2147006c7b78d95687	infinite	20	100.0
поло henderson	https://storage.yandexcloud.net/aaa-project-100/44617591637.jpg	https://www.google.ru/search?q=поло henderson	44617591637	irrelevant	0000488072--68497c2147006c7b78d95688	infinite	19	89.47369
поло henderson	https://storage.yandexcloud.net/aaa-project-100/44553638177.jpg	https://www.google.ru/search?q=поло henderson	44553638177	irrelevant	0000488072--68497c2147006c7b78d95689	infinite	25	100.0
мотоботы эндуро	https://storage.yandexcloud.net/aaa-project-100/44540846828.jpg	https://www.google.ru/search?q=мотоботы эндуро	44540846828	irrelevant	0000488072--68497c2147006c7b78d9568a	infinite	19	100.0
мотоботы эндуро	https://storage.yandexcloud.net/aaa-project-100/44588504227.jpg	https://www.google.ru/search?q=мотоботы эндуро	44588504227	irrelevant	0000488072--68497c2147006c7b78d9568b	infinite	20	100.0
мотоботы эндуро	https://storage.yandexcloud.net/aaa-project-100/44588346001.jpg	https://www.google.ru/search?q=мотоботы эндуро	44588346001	irrelevant	0000488072--68497c2147006c7b78d9568d	infinite	15	100.0
мотоботы эндуро	https://storage.yandexcloud.net/aaa-project-100/44588460915.jpg	https://www.google.ru/search?q=мотоботы эндуро	44588460915	irrelevant	0000488072--68497c2147006c7b78d9568e	infinite	16	100.0
мотоботы эндуро	https://storage.yandexcloud.net/aaa-project-100/44588259554.jpg	https://www.google.ru/search?q=мотоботы эндуро	44588259554	irrelevant	0000488072--68497c2147006c7b78d9568f	infinite	14	100.0
мотоботы эндуро	https://storage.yandexcloud.net/aaa-project-100/44587587891.jpg	https://www.google.ru/search?q=мотоботы эндуро	44587587891	irrelevant	0000488072--68497c2147006c7b78d95691	infinite	16	100.0
мотоботы эндуро	https://storage.yandexcloud.net/aaa-project-100/44588247227.jpg	https://www.google.ru/search?q=мотоботы эндуро	44588247227	irrelevant	0000488072--68497c2147006c7b78d95693	infinite	13	100.0
чёрные форсы	https://storage.yandexcloud.net/aaa-project-100/44626916274.jpg	https://www.google.ru/search?q=чёрные форсы	44626916274	irrelevant	0000488072--68497c2147006c7b78d95695	infinite	11	100.0
чёрные форсы	https://storage.yandexcloud.net/aaa-project-100/44591007566.jpg	https://www.google.ru/search?q=чёрные форсы	44591007566	irrelevant	0000488072--68497c2147006c7b78d95696	infinite	18	94.44444
чёрные форсы	https://storage.yandexcloud.net/aaa-project-100/44636065582.jpg	https://www.google.ru/search?q=чёрные форсы	44636065582	irrelevant	0000488072--68497c2147006c7b78d95699	infinite	17	100.0
чёрные форсы	https://storage.yandexcloud.net/aaa-project-100/44642805266.jpg	https://www.google.ru/search?q=чёрные форсы	44642805266	irrelevant	0000488072--68497c2147006c7b78d9569a	infinite	17	100.0
чёрные форсы	https://storage.yandexcloud.net/aaa-project-100/44596991058.jpg	https://www.google.ru/search?q=чёрные форсы	44596991058	irrelevant	0000488072--68497c2147006c7b78d9569c	infinite	14	100.0
чёрные форсы	https://storage.yandexcloud.net/aaa-project-100/44625703859.jpg	https://www.google.ru/search?q=чёрные форсы	44625703859	irrelevant	0000488072--68497c2147006c7b78d9569d	infinite	16	100.0
колодки на	https://storage.yandexcloud.net/aaa-project-100/44636065582.jpg	https://www.google.ru/search?q=колодки на	44636065582	irrelevant	0000488072--68497c2147006c7b78d9569e	infinite	13	100.0
колодки на	https://storage.yandexcloud.net/aaa-project-100/44543473712.jpg	https://www.google.ru/search?q=колодки на	44543473712	irrelevant	0000488072--68497c2147006c7b78d9569f	infinite	20	100.0
zarа	https://storage.yandexcloud.net/aaa-project-100/44595522816.jpg	https://www.google.ru/search?q=zarа	44595522816	relevant	0000488072--68497c2147006c7b78d956ae	infinite	17	52.941177
джинсы dragonit	https://storage.yandexcloud.net/aaa-project-100/44572958538.jpg	https://www.google.ru/search?q=джинсы dragonit	44572958538	irrelevant	0000488072--68497c2147006c7b78d956b4	infinite	19	100.0
джинсы dragonit	https://storage.yandexcloud.net/aaa-project-100/44579179318.jpg	https://www.google.ru/search?q=джинсы dragonit	44579179318	irrelevant	0000488072--68497c2147006c7b78d956b6	infinite	24	100.0
gi o	https://storage.yandexcloud.net/aaa-project-100/44624630196.jpg	https://www.google.ru/search?q=gi o	44624630196	irrelevant	0000488072--68497c4b47006c7b78d96098	infinite	14	100.0
patagonia	https://storage.yandexcloud.net/aaa-project-100/44595488670.jpg	https://www.google.ru/search?q=patagonia	44595488670	irrelevant	0000488072--68497c4b47006c7b78d96099	infinite	18	100.0
patagonia	https://storage.yandexcloud.net/aaa-project-100/44672632063.jpg	https://www.google.ru/search?q=patagonia	44672632063	irrelevant	0000488072--68497c4b47006c7b78d9609b	infinite	20	95.0
patagonia	https://storage.yandexcloud.net/aaa-project-100/44563297796.jpg	https://www.google.ru/search?q=patagonia	44563297796	irrelevant	0000488072--68497c4b47006c7b78d9609f	infinite	18	100.0
patagonia	https://storage.yandexcloud.net/aaa-project-100/44561761358.jpg	https://www.google.ru/search?q=patagonia	44561761358	irrelevant	0000488072--68497c4b47006c7b78d960a0	infinite	16	100.0
patagonia	https://storage.yandexcloud.net/aaa-project-100/44562729012.jpg	https://www.google.ru/search?q=patagonia	44562729012	irrelevant	0000488072--68497c4b47006c7b78d960a1	infinite	17	94.117645
трусы	https://storage.yandexcloud.net/aaa-project-100/44626916274.jpg	https://www.google.ru/search?q=трусы	44626916274	irrelevant	0000488072--68497c4b47006c7b78d960a3	infinite	14	100.0
трусы	https://storage.yandexcloud.net/aaa-project-100/44577719894.jpg	https://www.google.ru/search?q=трусы	44577719894	irrelevant	0000488072--68497c4b47006c7b78d960a5	infinite	17	100.0
трусы	https://storage.yandexcloud.net/aaa-project-100/44616458426.jpg	https://www.google.ru/search?q=трусы	44616458426	irrelevant	0000488072--68497c4b47006c7b78d960a7	infinite	10	100.0
трусы	https://storage.yandexcloud.net/aaa-project-100/44427523678.jpg	https://www.google.ru/search?q=трусы	44427523678	irrelevant	0000488072--68497c4b47006c7b78d960a9	infinite	18	100.0
трусы	https://storage.yandexcloud.net/aaa-project-100/44572958538.jpg	https://www.google.ru/search?q=трусы	44572958538	irrelevant	0000488072--68497c4b47006c7b78d960ab	infinite	21	100.0
haglofs	https://storage.yandexcloud.net/aaa-project-100/44650802873.jpg	https://www.google.ru/search?q=haglofs	44650802873	irrelevant	0000488072--68497c4b47006c7b78d960ae	infinite	17	100.0
haglofs	https://storage.yandexcloud.net/aaa-project-100/44007905335.jpg	https://www.google.ru/search?q=haglofs	44007905335	irrelevant	0000488072--68497c4b47006c7b78d960af	infinite	16	100.0
haglofs	https://storage.yandexcloud.net/aaa-project-100/44574293557.jpg	https://www.google.ru/search?q=haglofs	44574293557	irrelevant	0000488072--68497c4b47006c7b78d960b1	infinite	17	100.0
haglofs	https://storage.yandexcloud.net/aaa-project-100/44673240268.jpg	https://www.google.ru/search?q=haglofs	44673240268	irrelevant	0000488072--68497c4b47006c7b78d960b4	infinite	14	100.0
maximilian	https://storage.yandexcloud.net/aaa-project-100/44588174499.jpg	https://www.google.ru/search?q=maximilian	44588174499	irrelevant	0000488072--68497c4b47006c7b78d960bb	infinite	18	88.888885
maximilian	https://storage.yandexcloud.net/aaa-project-100/44585894836.jpg	https://www.google.ru/search?q=maximilian	44585894836	irrelevant	0000488072--68497c4b47006c7b78d960be	infinite	18	100.0
maximilian	https://storage.yandexcloud.net/aaa-project-100/44585710923.jpg	https://www.google.ru/search?q=maximilian	44585710923	irrelevant	0000488072--68497c4b47006c7b78d960bf	infinite	17	100.0
maximilian	https://storage.yandexcloud.net/aaa-project-100/44588233080.jpg	https://www.google.ru/search?q=maximilian	44588233080	irrelevant	0000488072--68497c4b47006c7b78d960c0	infinite	18	94.44444
jura	https://storage.yandexcloud.net/aaa-project-100/44586729662.jpg	https://www.google.ru/search?q=jura	44586729662	irrelevant	0000488072--68497c4b47006c7b78d960ce	infinite	21	100.0
jura	https://storage.yandexcloud.net/aaa-project-100/44588233080.jpg	https://www.google.ru/search?q=jura	44588233080	irrelevant	0000488072--68497c4b47006c7b78d960cf	infinite	13	100.0
jura	https://storage.yandexcloud.net/aaa-project-100/44588245663.jpg	https://www.google.ru/search?q=jura	44588245663	irrelevant	0000488072--68497c4b47006c7b78d960d0	infinite	17	100.0
nike kobe	https://storage.yandexcloud.net/aaa-project-100/44574465265.jpg	https://www.google.ru/search?q=nike kobe	44574465265	irrelevant	0000488072--68497c4b47006c7b78d960d6	infinite	18	77.77778
nike kobe	https://storage.yandexcloud.net/aaa-project-100/44596708252.jpg	https://www.google.ru/search?q=nike kobe	44596708252	irrelevant	0000488072--68497c4b47006c7b78d960d7	infinite	17	88.23529
nike kobe	https://storage.yandexcloud.net/aaa-project-100/44642177142.jpg	https://www.google.ru/search?q=nike kobe	44642177142	irrelevant	0000488072--68497c4b47006c7b78d960d9	infinite	16	93.75
nike kobe	https://storage.yandexcloud.net/aaa-project-100/44566963696.jpg	https://www.google.ru/search?q=nike kobe	44566963696	irrelevant	0000488072--68497c4b47006c7b78d960db	infinite	21	80.95238
vibram fivefingers	https://storage.yandexcloud.net/aaa-project-100/44647220233.jpg	https://www.google.ru/search?q=vibram fivefingers	44647220233	irrelevant	0000488072--68497c4b47006c7b78d960e7	infinite	18	100.0
вьетнамки 36	https://storage.yandexcloud.net/aaa-project-100/44584679009.jpg	https://www.google.ru/search?q=вьетнамки 36	44584679009	irrelevant	0000488072--68497c7547006c7b78d96d20	infinite	13	100.0
вьетнамки 36	https://storage.yandexcloud.net/aaa-project-100/44629795507.jpg	https://www.google.ru/search?q=вьетнамки 36	44629795507	irrelevant	0000488072--68497c7547006c7b78d96d22	infinite	18	100.0
вьетнамки 36	https://storage.yandexcloud.net/aaa-project-100/44562558321.jpg	https://www.google.ru/search?q=вьетнамки 36	44562558321	irrelevant	0000488072--68497c7547006c7b78d96d23	infinite	20	95.0
вьетнамки 36	https://storage.yandexcloud.net/aaa-project-100/44588841887.jpg	https://www.google.ru/search?q=вьетнамки 36	44588841887	irrelevant	0000488072--68497c7547006c7b78d96d27	infinite	22	100.0
furla atena	https://storage.yandexcloud.net/aaa-project-100/44651414224.jpg	https://www.google.ru/search?q=furla atena	44651414224	relevant	0000488072--68497c7547006c7b78d96d2a	infinite	24	16.666666
puma	https://storage.yandexcloud.net/aaa-project-100/44636446198.jpg	https://www.google.ru/search?q=puma	44636446198	relevant	0000488072--68497c7547006c7b78d96d32	infinite	21	61.904762
puma	https://storage.yandexcloud.net/aaa-project-100/44570323019.jpg	https://www.google.ru/search?q=puma	44570323019	irrelevant	0000488072--68497c7547006c7b78d96d35	infinite	20	95.0
puma	https://storage.yandexcloud.net/aaa-project-100/44622726032.jpg	https://www.google.ru/search?q=puma	44622726032	irrelevant	0000488072--68497c7547006c7b78d96d36	infinite	14	78.57143
puma	https://storage.yandexcloud.net/aaa-project-100/44635632671.jpg	https://www.google.ru/search?q=puma	44635632671	irrelevant	0000488072--68497c7547006c7b78d96d37	infinite	21	100.0
puma	https://storage.yandexcloud.net/aaa-project-100/44564291663.jpg	https://www.google.ru/search?q=puma	44564291663	irrelevant	0000488072--68497c7547006c7b78d96d38	infinite	14	92.85714
puma	https://storage.yandexcloud.net/aaa-project-100/44589475073.jpg	https://www.google.ru/search?q=puma	44589475073	irrelevant	0000488072--68497c7547006c7b78d96d39	infinite	15	100.0
puma	https://storage.yandexcloud.net/aaa-project-100/44551838195.jpg	https://www.google.ru/search?q=puma	44551838195	irrelevant	0000488072--68497c7547006c7b78d96d3a	infinite	17	94.117645
puma	https://storage.yandexcloud.net/aaa-project-100/44486959652.jpg	https://www.google.ru/search?q=puma	44486959652	irrelevant	0000488072--68497c7547006c7b78d96d3b	infinite	20	95.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44626916274.jpg	https://www.google.ru/search?q=кроссовки	44626916274	irrelevant	0000488072--68497c7547006c7b78d96d3c	infinite	12	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44649761331.jpg	https://www.google.ru/search?q=кроссовки	44649761331	irrelevant	0000488072--68497c7547006c7b78d96d3d	infinite	18	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44585789083.jpg	https://www.google.ru/search?q=кроссовки	44585789083	irrelevant	0000488072--68497c7547006c7b78d96d3e	infinite	19	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44605641846.jpg	https://www.google.ru/search?q=кроссовки	44605641846	irrelevant	0000488072--68497c7547006c7b78d96d3f	infinite	16	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44584397402.jpg	https://www.google.ru/search?q=кроссовки	44584397402	irrelevant	0000488072--68497c7547006c7b78d96d40	infinite	16	93.75
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44587997763.jpg	https://www.google.ru/search?q=кроссовки	44587997763	irrelevant	0000488072--68497c7547006c7b78d96d41	infinite	11	90.90909
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44589467646.jpg	https://www.google.ru/search?q=кроссовки	44589467646	irrelevant	0000488072--68497c7547006c7b78d96d42	infinite	17	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44616458426.jpg	https://www.google.ru/search?q=кроссовки	44616458426	irrelevant	0000488072--68497c7547006c7b78d96d43	infinite	15	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44559864568.jpg	https://www.google.ru/search?q=кроссовки	44559864568	irrelevant	0000488072--68497c7547006c7b78d96d44	infinite	16	100.0
кроссовки	https://storage.yandexcloud.net/aaa-project-100/44572958538.jpg	https://www.google.ru/search?q=кроссовки	44572958538	irrelevant	0000488072--68497c7547006c7b78d96d45	infinite	17	100.0
кроссовки strobbs	https://storage.yandexcloud.net/aaa-project-100/44622794741.jpg	https://www.google.ru/search?q=кроссовки strobbs	44622794741	irrelevant	0000488072--68497c7547006c7b78d96d46	infinite	16	93.75
кроссовки strobbs	https://storage.yandexcloud.net/aaa-project-100/44559864568.jpg	https://www.google.ru/search?q=кроссовки strobbs	44559864568	irrelevant	0000488072--68497c7547006c7b78d96d47	infinite	18	100.0
кроссовки strobbs	https://storage.yandexcloud.net/aaa-project-100/44637936046.jpg	https://www.google.ru/search?q=кроссовки strobbs	44637936046	irrelevant	0000488072--68497c7547006c7b78d96d48	infinite	19	100.0
кроссовки strobbs	https://storage.yandexcloud.net/aaa-project-100/44572929024.jpg	https://www.google.ru/search?q=кроссовки strobbs	44572929024	irrelevant	0000488072--68497c7547006c7b78d96d49	infinite	21	95.2381
кроссовки strobbs	https://storage.yandexcloud.net/aaa-project-100/44652201313.jpg	https://www.google.ru/search?q=кроссовки strobbs	44652201313	irrelevant	0000488072--68497c7547006c7b78d96d4a	infinite	19	100.0
кроссовки strobbs	https://storage.yandexcloud.net/aaa-project-100/44585789083.jpg	https://www.google.ru/search?q=кроссовки strobbs	44585789083	irrelevant	0000488072--68497c7547006c7b78d96d4b	infinite	17	100.0
кроссовки strobbs	https://storage.yandexcloud.net/aaa-project-100/44384529880.jpg	https://www.google.ru/search?q=кроссовки strobbs	44384529880	irrelevant	0000488072--68497c7547006c7b78d96d4c	infinite	17	100.0
кроссовки strobbs	https://storage.yandexcloud.net/aaa-project-100/44595072248.jpg	https://www.google.ru/search?q=кроссовки strobbs	44595072248	irrelevant	0000488072--68497c7547006c7b78d96d4d	infinite	19	100.0
одежда	https://storage.yandexcloud.net/aaa-project-100/44543473712.jpg	https://www.google.ru/search?q=одежда	44543473712	relevant	0000488072--68497c7547006c7b78d96d56	infinite	16	43.75
одежда	https://storage.yandexcloud.net/aaa-project-100/44605641846.jpg	https://www.google.ru/search?q=одежда	44605641846	relevant	0000488072--68497c7547006c7b78d96d58	infinite	15	53.333332
кросоовки gas	https://storage.yandexcloud.net/aaa-project-100/44559864568.jpg	https://www.google.ru/search?q=кросоовки gas	44559864568	irrelevant	0000488072--68497c7547006c7b78d96d60	infinite	24	100.0
lichi	https://storage.yandexcloud.net/aaa-project-100/44654053097.jpg	https://www.google.ru/search?q=lichi	44654053097	irrelevant	0000488072--68497c7547006c7b78d96dff	infinite	17	100.0
yoji yamamoto sukkui	https://storage.yandexcloud.net/aaa-project-100/44558027166.jpg	https://www.google.ru/search?q=yoji yamamoto sukkui	44558027166	irrelevant	0000488072--68497c7547006c7b78d96e0b	infinite	18	100.0
yoji yamamoto sukkui	https://storage.yandexcloud.net/aaa-project-100/44576609731.jpg	https://www.google.ru/search?q=yoji yamamoto sukkui	44576609731	irrelevant	0000488072--68497c7547006c7b78d96e0d	infinite	17	94.117645
marimann	https://storage.yandexcloud.net/aaa-project-100/44585775951.jpg	https://www.google.ru/search?q=marimann	44585775951	irrelevant	0000488072--68497c7547006c7b78d96e17	infinite	18	94.44444
seidensticker	https://storage.yandexcloud.net/aaa-project-100/44557486353.jpg	https://www.google.ru/search?q=seidensticker	44557486353	irrelevant	0000488072--68497c7547006c7b78d96e18	infinite	21	100.0
seidensticker	https://storage.yandexcloud.net/aaa-project-100/44595091196.jpg	https://www.google.ru/search?q=seidensticker	44595091196	irrelevant	0000488072--68497c7547006c7b78d96e1b	infinite	25	88.0
seidensticker	https://storage.yandexcloud.net/aaa-project-100/44639405195.jpg	https://www.google.ru/search?q=seidensticker	44639405195	irrelevant	0000488072--68497c7547006c7b78d96e21	infinite	21	90.47619
кроссовки bmai	https://storage.yandexcloud.net/aaa-project-100/44550812864.jpg	https://www.google.ru/search?q=кроссовки bmai	44550812864	irrelevant	0000488072--68497c7547006c7b78d96e22	infinite	19	100.0
кроссовки bmai	https://storage.yandexcloud.net/aaa-project-100/44543393471.jpg	https://www.google.ru/search?q=кроссовки bmai	44543393471	irrelevant	0000488072--68497c7547006c7b78d96e23	infinite	16	93.75
кроссовки bmai	https://storage.yandexcloud.net/aaa-project-100/44570762438.jpg	https://www.google.ru/search?q=кроссовки bmai	44570762438	irrelevant	0000488072--68497c7547006c7b78d96e24	infinite	26	96.15385
кроссовки bmai	https://storage.yandexcloud.net/aaa-project-100/44605439773.jpg	https://www.google.ru/search?q=кроссовки bmai	44605439773	irrelevant	0000488072--68497c7547006c7b78d96e25	infinite	20	100.0
